time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.04261311806e-05,2.04686634267e-05,10.0050666254,0.00447389064909,0.0125856553749,0.0,-0.00305092639992,0.00121168750016,0.168870431919,-0.024401422826,0.037680812309,0.0,455.95491564965556,458.95484197891955,459.9781112240351,458.04205892043467
0.12000000000000001,-0.000581891335627,0.00019382842961,10.0213715271,0.00306051273241,0.0240762996086,0.0,-0.0159785578981,0.00440502893833,0.374559978601,-0.0283447299789,0.069782436094,0.0,467.6127322667787,470.1077269058669,469.9347206448138,469.6289238490038
0.18,-0.0021516344962,0.000568004394961,10.0496233122,0.011276473115,0.0343634449064,0.0,-0.0375676274879,0.00905925491984,0.567050007948,-0.064062150103,0.0414995294035,0.0,466.08083201535777,463.867932896045,467.6021835512758,464.8110209317545
0.23999999999999996,-0.00512913923546,0.00134371388838,10.0867494524,0.0110785961588,0.036846325325,0.0,-0.0619373065093,0.0167565912226,0.670423353988,-0.0443115204225,0.0395314816816,0.0,439.30883871547337,439.1465423336878,436.89139609538194,438.53245078107176
0.3,-0.00977764649582,0.00261014713079,10.1338628665,0.00858580309393,0.0425089683218,0.0,-0.0937192179524,0.0251609185645,0.899845477783,-0.0501322035517,0.0184232677362,0.0,477.94841156766887,476.3375188310541,476.848234746932,476.40233491988715
0.36000000000000004,-0.0163629459189,0.0042953852214,10.1919262874,0.00575923921955,0.0513480687683,0.0,-0.126768252865,0.0307156092945,1.0354440537,-0.0561496487114,-0.0132641644164,0.0,450.4946813079575,447.9254083484143,449.29982459071107,448.8100244584587
0.4200000000000001,-0.0251514899878,0.00627103530971,10.2584817947,0.00748752718674,0.0634403534125,0.0,-0.167452703678,0.0353009477607,1.18285652779,-0.0325888068948,0.0248807002071,0.0,450.5154783404727,453.58886643309864,453.2781144522849,455.16595786423375
0.48000000000000015,-0.0366356682366,0.00854945695463,10.3343001981,0.00555161196101,0.0650235906814,0.0,-0.215524316795,0.0404291342304,1.34423331674,-0.031847325037,0.0201752351869,0.0,458.2915235116781,457.9174382988527,457.5549534233127,457.6136156748878
0.5400000000000001,-0.051144396423,0.0111039967162,10.4209323742,0.00520766609625,0.0740163665305,0.0,-0.269099205494,0.0446656260258,1.54318279794,-0.0192827251324,0.049557964709,0.0,468.04312445568775,470.32442994141866,469.486270299966,470.4598736301328
0.6000000000000002,-0.0686031557075,0.0138797039625,10.5134175589,0.00684090482351,0.0771991401685,0.0,-0.313134447497,0.0479845257395,1.53963477241,-0.00214524086256,0.053510941361,0.0,405.5056125394331,405.8624480887842,405.0883339875175,406.6264211944486
0.6600000000000003,-0.0890571359828,0.0169034103463,10.6093269435,0.00681399392657,0.0838898282437,0.0,-0.369333973192,0.0527986503846,1.65711801671,0.000350263048097,0.0727811665359,0.0,444.8839186634504,446.4613833291941,445.2333508997367,445.43748505438435
0.7200000000000003,-0.112753612452,0.0201988640762,10.7091215414,0.00803366188319,0.0891750434789,0.0,-0.421031196779,0.0571696255146,1.66929946144,-0.0129028351727,0.0610146480364,0.0,412.7257908943004,411.69006295232913,411.8196308177842,410.64581904717534
0.7800000000000004,-0.140141227868,0.0238102261282,10.8145825577,0.00730234006072,0.106027215409,0.0,-0.493731450779,0.0631209529008,1.84560232251,-0.0115373411254,0.0996186685763,0.0,463.6522067923276,466.67913035757147,463.36834584131634,463.4757984517822
0.8400000000000004,-0.172218438208,0.0277784308453,10.9304029264,0.0104946713408,0.113016830905,0.0,-0.576255446785,0.0695332811037,2.01468353599,-0.0343612021675,0.109505885968,0.0,463.031630671072,463.81748589926224,463.5761446868982,461.7793529156572
0.9000000000000005,-0.20961043567,0.0321975136664,11.058041766,0.00852704581235,0.121533397332,0.0,-0.671146073246,0.0775237690404,2.23937994031,-0.0319940143638,0.0929759344516,0.0,480.4922161765151,479.24607233288253,480.8633542358338,481.042274153711
0.9600000000000005,-0.253198371164,0.0370731308296,11.2016361622,0.00769411338742,0.127101460961,0.0,-0.782450985392,0.0848661991254,2.54633445672,-0.0217117457222,0.0922023224523,0.0,505.2574231216293,505.2077714282701,504.2901682482943,505.03218512805654
1.0200000000000005,-0.302840316601,0.0423329351149,11.3576018961,0.00934985530188,0.132872963527,0.0,-0.872845294394,0.0906487213601,2.65216685987,-0.0417918607995,0.0964939967073,0.0,447.8734559164757,448.22971076708706,447.13065313485305,445.4915391059139
1.0800000000000005,-0.358335559591,0.0479956188553,11.5221593928,0.0108693721284,0.139318827488,0.0,-0.977669440241,0.0983013458386,2.83250100849,-0.0650076774263,0.104248163778,0.0,469.475025391085,470.0841448158271,472.6695353953439,470.8755916310247
1.1400000000000006,-0.42021827256,0.054128329035,11.6970778323,0.00801236999678,0.147881966941,0.0,-1.0859717549,0.105810811244,2.99750169484,-0.0774622481858,0.119733727324,0.0,465.9464452932509,467.1654544455609,468.7412115982154,467.76896816861216
1.2000000000000006,-0.48873685467,0.0606418470623,11.8814600837,0.00470646283335,0.157058317167,0.0,-1.19891366442,0.110955042268,3.14794982135,-0.091408756588,0.134041654849,0.0,463.32292601305596,464.45984457740775,465.2467395804448,464.1483224834059
1.2600000000000007,-0.563507742839,0.0673667043763,12.0702438124,3.43969402827e-06,0.167557751603,0.0,-1.29435403421,0.112807317123,3.14463949811,-0.102367523643,0.150053348673,0.0,415.13937515329485,416.56151638375735,417.30577404181986,416.33968016173935
