time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
0.7200000000000003,-0.813375246765,0.189474396712,0.0,2.29000428251,0.187558141671,0.0,-1.57327586611,-0.646269197282,-6.76000831624,6.00892277139,-0.977349114816,0.0,467.860144529,437.390341453,410.396568535,339.631400587,1,36.0
0.6600000000000003,0.158146842354,-0.13490524965,0.0,3.61777801237,0.686124565172,0.0,0.985207136175,-0.0508920462711,-6.88023948303,5.03202777955,-4.17815299712,0.0,489.716569052,518.758022808,465.694778126,330.610391117,2,33.0
0.7200000000000003,-0.661945207369,0.335862581809,0.0,6.13980243429,3.51520493385,0.0,-1.5188525729,0.698256329376,-7.18638349921,3.4718646151,-2.95729109306,0.0,526.786194433,531.268288337,407.984642628,287.494394212,3,36.0
0.7200000000000003,-0.176957837077,-0.258844359993,0.0,5.81313161756,1.42873837883,0.0,-0.245702762484,-0.465399059981,-7.02050199613,6.11831294487,-2.98521772201,0.0,479.502247895,435.39893983,315.383298241,433.245745985,4,36.0
0.7200000000000003,-0.221702435939,-0.181367276226,0.0,5.13266945215,5.81661046589,0.0,0.711661720737,-0.385670472163,-6.38933414762,7.67695382568,-4.74035937519,0.0,527.913716241,483.004174586,333.120957543,307.992034992,5,36.0
0.6600000000000003,-0.366375380803,0.0380880173257,0.0,1.35401009104,3.34394636743,0.0,-1.59751690427,0.243233424851,-6.767620738,6.18135508914,-2.89768779545,0.0,433.00560131,456.31734692,395.63008182,340.517922744,6,33.0
0.7200000000000003,-0.207087847269,0.00248972255951,0.0,1.68237826828,6.06903072248,0.0,0.0992171550364,0.511460779381,-6.74201550927,1.69396502153,-3.26105622994,0.0,384.494125483,354.557011586,410.263555327,266.337405298,7,36.0
0.7200000000000003,-0.666760985146,-0.212885721551,0.0,3.84658497271,5.67872377886,0.0,-0.639503063998,-0.521637595342,-6.17849125699,1.48478674265,-2.54444844623,0.0,309.4706054,304.234075948,337.521492694,259.867771115,8,36.0
0.6600000000000003,-0.273531206156,0.0894014218815,0.0,3.56518227688,4.96654016864,0.0,0.682037196895,0.131778748585,-7.07681592487,-5.38435864744,-1.51193857,0.0,247.764037897,274.147446171,431.548035452,295.127280409,9,33.0
0.6600000000000003,-0.245732415439,-0.0358721137211,0.0,5.27888490948,5.77547768052,0.0,0.434176447137,-0.352822785285,-7.22446636722,-9.22465242385,-1.41523176677,0.0,168.44562261,199.587897692,432.196620062,240.66407705,10,33.0
0.7200000000000003,0.137481448375,-0.103634944183,0.0,0.0129548536045,6.00367092707,0.0,1.13255032726,-0.263526367665,-6.25597701233,-11.480206378,-1.86660377477,0.0,166.349311103,207.977868725,420.335671544,178.216278566,11,36.0
0.7200000000000003,-0.0283024392294,0.220008673119,0.0,0.0983006570564,6.16543704519,0.0,0.295739591635,0.722406667243,-6.36827786832,-14.5343082253,-2.19740606976,0.0,192.355529998,197.815751146,474.376348446,149.663101552,12,36.0
0.7200000000000003,0.287012110533,-0.0710763512164,0.0,3.32719824951,4.46315227042,0.0,1.4213082835,-0.0881355583874,-6.72799994448,-12.7155678976,-3.43347352083,0.0,299.418076467,246.827530612,483.409019968,195.179674177,13,36.0
0.6600000000000003,0.202176625864,0.0701697567257,0.0,1.158894545,5.81828037505,0.0,0.951894793083,0.73251444309,-6.73274373392,-11.7241333966,-3.83830720609,0.0,280.823455706,224.485894214,415.478704492,171.405175963,14,33.0
0.7200000000000003,0.0140827727034,-0.01446375709,0.0,1.22993768644,3.65231561876,0.0,0.303164600722,0.0822464527601,-6.95212413294,-10.445070914,-4.1357272193,0.0,330.998994705,294.818446485,363.849582722,194.131892888,15,36.0
0.7200000000000003,0.224812767332,0.097584061205,0.0,2.5108692169,2.85355590172,0.0,0.404393434171,0.26321576711,-7.11109610234,-10.301498603,-4.12186764863,0.0,263.069492843,235.0501999,246.754955356,112.337709691,16,36.0
0.6600000000000003,0.101445282225,-0.0209644309912,0.0,0.356663496456,6.25103597901,0.0,0.00954188267036,-0.00348077830102,-6.44068638178,-9.96459814539,-2.83383993168,0.0,288.806104667,276.097926454,320.568261688,124.720218033,17,33.0
0.7200000000000003,-0.715464341245,0.142201734457,0.0,2.56365344808,3.18691602655,0.0,-1.60364752351,0.417545493593,-7.23201545465,-8.01124003005,-0.898588227386,0.0,242.634839466,278.577763318,208.067824545,133.292212418,18,36.0
0.7200000000000003,0.402341873127,-0.00576383256063,0.0,1.897355977,2.30403908124,0.0,0.999469380735,0.157419012719,-6.95974213554,-7.32093286391,-0.38573283289,0.0,340.458756806,293.400867161,290.253665051,170.746302963,19,36.0
0.7200000000000003,-0.566767703865,-0.0932648894609,0.0,0.755342049879,3.48717256705,0.0,-1.40092411014,-0.128782100441,-6.792479955,-8.13836364419,-0.456991066292,0.0,390.129509124,332.697573401,345.133476058,184.071059026,20,36.0
0.6600000000000003,-0.407521766093,-0.0248936862534,0.0,6.0576535535,1.65928844161,0.0,-1.6439689524,-0.0144909098631,-6.59513599684,-7.04027299162,-0.580414650944,0.0,262.760510692,254.062460975,212.427481552,154.01983066,21,33.0
0.7200000000000003,-0.383109811141,-0.0811892162215,0.0,0.34207833522,3.32458224275,0.0,-0.99843439561,-0.751380770987,-7.30153961146,-6.95424907506,1.59274793349,0.0,322.362559052,332.830332391,256.262264801,144.77113608,22,36.0
