time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
2.0400000000000014,-1.35581059981,-2.71671627967,0.0,4.93658501811,6.05493402665,0.0,-0.339967388312,-1.49192715843,-19.2577626479,-10.4224635811,20.9666651867,0.0,333.634902578,749.520111197,364.336981498,290.372144998,1,102.0
2.1000000000000014,-2.84762633252,1.43947671021,0.0,0.666691928641,2.06880493918,0.0,-1.88792507022,1.08562708416,-19.1408581849,-11.3655228349,17.3150270098,0.0,353.526958439,571.551455165,450.624882021,295.224246199,2,105.0
2.3400000000000016,-3.3934379505,6.0713107546,0.0,5.04451481465,1.70995787195,0.0,-1.19356769184,2.36837436692,-19.2653156634,13.6708808196,-3.23146814795,0.0,116.824305113,638.493619434,332.806582815,273.746428291,3,117.0
1.9800000000000013,-12.1393211589,-0.984824983761,0.0,1.81920194095,0.277467412141,0.0,-8.69407931757,-1.38889085431,-20.4510312429,13.215492758,20.5089432937,0.0,130.118205941,696.018176232,62.330599259,352.847279778,4,99.0
1.9200000000000013,-0.377965332584,0.840115085727,0.0,0.482334148265,6.13106706804,0.0,-0.15314699027,1.41656522536,-19.7777418925,22.1348814222,-11.4111962669,0.0,356.184138183,148.354985059,62.7032853571,617.740915672,5,96.0
1.9800000000000013,-0.0525132844735,-1.64050718365,0.0,0.265441483361,5.97619338931,0.0,0.743594995487,-0.638384664529,-20.0619528219,20.487847329,-10.5139230449,0.0,535.519294065,388.805351015,97.4952627989,638.266993413,6,99.0
2.1600000000000015,3.05680758659,-0.451502959572,0.0,0.940738439929,4.20851220549,0.0,0.506776848765,-1.34496199056,-21.7020749561,19.0079570134,-9.95401533526,0.0,519.30252416,271.023781283,169.9687623,584.171449128,7,108.0
2.0400000000000014,-0.602012832118,-0.267604350484,0.0,4.92246093184,4.109549395,0.0,0.0760482107312,-0.1359804614,-19.937432265,9.40182349539,10.4270304652,0.0,293.876509413,474.612084452,162.820230846,224.226283112,8,102.0
2.0400000000000014,-2.17669012933,-0.629022143879,0.0,6.07786445277,1.33754850606,0.0,-1.38180524806,-0.912309458754,-21.6500328901,2.37765045731,17.2563340413,0.0,120.430324998,568.44864848,47.9459279272,27.5547096047,9,102.0
2.0400000000000014,-0.786951912701,7.20401453143e-05,0.0,0.0958218382166,4.23337961281,0.0,0.0378584217243,-0.0107069178754,-19.9368095361,-0.16404461906,19.1073108119,0.0,69.372105074,491.358204308,120.434227308,83.8321698717,10,102.0
2.1000000000000014,-1.00569280194,-0.00827807934562,0.0,1.05273582085,5.47831494894,0.0,-0.597593494802,-0.251005800636,-19.8398415901,-0.444584824407,20.8148695922,0.0,113.994775651,567.500439867,180.30039002,162.369170568,11,105.0
2.0400000000000014,-0.934162999491,-0.00399883740477,0.0,3.96799716245,0.0427767021466,0.0,-0.338039229172,-0.0443108688344,-20.5985312248,-1.04491229368,18.9299947529,0.0,67.3048969178,614.869257571,182.539843551,119.12866387,12,102.0
